Analyte,Spill without 82,COG_1km,Mine_1km,Road_1km,TPI,Season
SC,-0.01 (p = 0.474),-0.074 (p = 0.638),0.011 (p = 0.909),0.129 (p = 0.138),-0.212* (p = 0.028),-0.082 (p = 0.732)
Na,-0.104* (p = 0.018),-0.379 (p = 0.451),-0.018 (p = 0.953),0.129 (p = 0.643),-0.285 (p = 0.351),-0.261 (p = 0.732)
Cl,-0.053 (p = 0.278),0.033 (p = 0.954),0.04 (p = 0.907),0.321 (p = 0.309),-0.379 (p = 0.274),-0.413 (p = 0.633)
Ba,-0.008* (p = 0.015),0.033 (p = 0.38),-0.054* (p = 0.021),0.031 (p = 0.146),0.015 (p = 0.513),-0.051 (p = 0.375)
SO4,0.087* (p = 0.001),0.122 (p = 0.694),0.534* (p = 0.006),-0.221 (p = 0.201),-0.25 (p = 0.187),0.251 (p = 0.594)
Sr,-0.001 (p = 0.943),0.039 (p = 0.693),-0.005 (p = 0.936),-0.026 (p = 0.635),-0.031 (p = 0.611),0.047 (p = 0.755)
Br,-0.001 (p = 0.778),-0.011 (p = 0.75),0.011 (p = 0.613),0.002 (p = 0.925),-0.003 (p = 0.873),-0.024 (p = 0.644)
Fe,-0.012* (p = 0.021),0.041 (p = 0.479),-0.09* (p = 0.012),0.067* (p = 0.039),-0.034 (p = 0.327),-0.023 (p = 0.795)
Methane,-0.068* (p = 0.004),-0.041 (p = 0.879),-0.264 (p = 0.114),0.322* (p = 0.034),-0.139 (p = 0.407),-0.165 (p = 0.687)
