,Analyte,Unit,n,Min,Max,Mean,Median,5th Percentile,25th Percentile,75th Percentile,95th Percentile,MCL/SMCL limit,% Exceeding MCL/SMCL
0,DO,mg/L,14,0.325,7.26,3.322,3.31,0.329,0.426,6.325,7.013,-,-
1,SC,µS/cm,14,431.0,3485.0,864.521,603.0,472.795,550.25,682.25,2269.5,-,-
2,pH,pH unit,14,6.05,8.97,7.097,7.04,6.492,6.872,7.165,7.969,6.5-8.5,14.3% (2)
4,Alkalinity,mg CaCO3/L,13,88.0,541.0,288.692,263.0,128.8,225.0,319.0,532.6,-,-
5,Air [CH4],"ppm, max",12,5.0,63.0,11.667,5.0,5.0,5.0,10.25,37.15,-,-
6,F,mg/L,14,0.057,3.52,0.476,0.108,0.065,0.084,0.276,2.161,2,7.1% (1)
7,Cl,mg/L,14,3.55,697.0,78.019,18.35,3.881,5.568,25.75,354.45,250,7.1% (1)
8,SO4,mg/L,14,1.1,110.0,36.194,28.3,6.456,21.55,45.725,85.365,250,0.0% (0)
9,Br,mg/L,14,0.015,5.813,0.451,0.032,0.02,0.028,0.034,2.116,2,7.1% (1)
10,NO3-NO3,mg/L,14,0.038,10.7,2.927,1.495,0.08,0.32,5.315,8.633,44,0.0% (0)
11,Al,mg/L,14,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05-0.2,0.0% (0)
12,Ba,mg/L,14,0.05,2.05,0.309,0.14,0.063,0.092,0.168,1.244,2,7.1% (1)
13,Ca,mg/L,14,0.67,106.0,59.155,72.75,12.91,38.9,75.95,91.245,-,-
14,Fe,mg/L,14,0.005,0.86,0.068,0.005,0.005,0.005,0.005,0.314,0.3,7.1% (1)
15,K,mg/L,14,1.16,7.01,2.583,2.25,1.186,1.505,2.652,5.846,-,-
16,Mg,mg/L,14,0.31,28.5,15.47,12.05,5.588,9.995,23.875,26.615,-,-
17,Mn,mg/L,14,0.005,0.2,0.033,0.01,0.005,0.005,0.032,0.128,0.05,21.4% (3)
18,Na,mg/L,14,4.77,622.0,89.652,17.85,5.823,14.325,46.6,432.85,-,-
19,P,mg/L,14,0.01,0.07,0.03,0.02,0.016,0.02,0.028,0.07,-,-
20,Si,mg/L,14,3.42,8.46,5.287,5.265,3.452,4.455,5.86,7.413,-,-
21,Sr,mg/L,14,0.1,2.1,0.589,0.505,0.198,0.3,0.655,1.248,4,0.0% (0)
22,Li,µg/L,14,3.07,61.9,11.472,7.73,3.902,5.62,9.688,30.18,10,21.4% (3)
23,Be,µg/L,14,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,4,0.0% (0)
24,Ni,µg/L,14,0.1,2.19,0.5,0.35,0.132,0.268,0.498,1.273,100,0.0% (0)
25,Cu,µg/L,14,0.05,23.2,6.386,4.16,0.414,2.115,6.25,22.55,1000,0.0% (0)
26,As,µg/L,14,0.05,1.78,0.221,0.095,0.05,0.053,0.16,0.753,10,0.0% (0)
27,Cd,µg/L,14,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,5,0.0% (0)
28,Tl,µg/L,14,0.05,0.21,0.062,0.05,0.05,0.05,0.05,0.112,2,0.0% (0)
29,Pb,µg/L,14,0.05,0.55,0.189,0.14,0.05,0.112,0.262,0.374,15,0.0% (0)
30,U,µg/L,14,0.05,0.78,0.312,0.26,0.05,0.078,0.4,0.708,30,0.0% (0)
31,87Sr/86Sr,-,5,0.7114,0.7131,0.7122,0.7121,0.7115,0.7115,0.7128,0.713,-,-
32,Benzene,µg/L,14,0.04,0.217,0.069,0.04,0.04,0.04,0.055,0.18,5,0.0% (0)
33,Toluene,µg/L,14,0.04,1.562,0.176,0.04,0.04,0.04,0.085,0.696,1000,0.0% (0)
34,Ethylbenzene,µg/L,14,0.04,0.259,0.072,0.04,0.04,0.04,0.092,0.175,700,0.0% (0)
35,"m,p-Xylene",µg/L,14,0.08,0.954,0.159,0.08,0.08,0.08,0.11,0.47,10000,0.0% (0)
36,o-Xylene,µg/L,14,0.06,0.464,0.098,0.06,0.06,0.06,0.075,0.247,10000,0.0% (0)
37,Xylene(total),μg/L,14,0.14,1.418,0.257,0.14,0.14,0.14,0.175,0.717,10000,0.0% (0)
38,Methane,mg/L,14,0.0,57.0,4.209,0.012,0.0,0.001,0.112,20.925,10,7.1% (1)
39,Ethane,mg/L,14,0.0,0.58,0.042,0.0,0.0,0.0,0.0,0.204,-,-
40,Propane,mg/L,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-
41,δ13C1(‰),-,2,-65.87,-65.2,-65.535,-65.535,-65.836,-65.702,-65.368,-65.234,-,-
42,δDC1(‰),-,2,-219.3,-153.9,-186.6,-186.6,-216.03,-202.95,-170.25,-157.17,-,-
43,δ13C2(‰),-,0,-,-,-,-,-,-,-,-,-,-
