Analyte,NEAR_UOG_well_DIST,NEAR_I_DIST,NEAR_S_DIST
SC,0.003 (p = 0.687),0.007 (p = 0.435),-0.01 (p = 0.487)
Na,0.044 (p = 0.091),0.039 (p = 0.176),-0.105* (p = 0.02)
Cl,-0.001 (p = 0.974),-0.023 (p = 0.465),-0.054 (p = 0.279)
Ba,0.003 (p = 0.272),0.007* (p = 0.013),-0.008 (p = 0.071)
SO4,-0.041* (p = 0.01),-0.028 (p = 0.115),0.088* (p = 0.001)
Sr,-0.006 (p = 0.234),-0.009 (p = 0.116),-0.001 (p = 0.923)
Br,0.01* (p = 0.014),0.017* (p = 0.0),-0.002 (p = 0.832)
Fe,0.003 (p = 0.309),0.002 (p = 0.577),-0.012* (p = 0.021)
Methane,0.048* (p = 0.0),0.037* (p = 0.013),-0.068* (p = 0.004)
