Isotech ,Site ID,GC,He,H2,Ar,O2,CO2,N2,CO,C1,C2,C2H4,C3,C3H6,iC4,nC4,iC5,nC5,C6+,MS,δ13C1,δDC1,Dissolved_CH4 _cc/L,CH4_mg/L,Dissolved_C2H6_cc/L,C2H6_mg/L,Dissolved_C3H8_cc/L,C3H8_mg/L,Helium dilution,Comments
930068.0,Sample_030,8/9/2024,na,nd,1.25,7.09,1.56,67.0,nd,23.07,0.0324,nd,nd,nd,nd,nd,nd,nd,0.0004,8/14/2024,-74.26,-202.3,7.9,5.3,0.012,0.015,<0.0001,<0.0002,0.69,dissolved gas ppm=dissolved gas mg/L
930874.0,Sample_053,8/19/2024,na,nd,1.03,5.18,0.5,40.29,nd,52.81,0.181,nd,nd,nd,nd,nd,nd,nd,0.0029,8/22/2024,-63.5,-198.4,8.9,6.0,0.034,0.043,<0.0001,<0.0002,0.85,
930876.0,Sample_055,8/19/2024,na,nd,0.688,6.0,4.14,34.03,nd,54.64,0.483,nd,0.008,nd,0.0011,nd,nd,nd,0.0012,8/22/2024,-64.31,-188.0,19.0,13.0,0.19,0.24,0.003,0.0054,0.69,dissolved gas ppm=dissolved gas mg/L.
939672.0,Sample_086,10/11/2024,na,nd,0.33,2.16,0.054,17.24,nd,79.83,0.381,nd,nd,nd,nd,nd,nd,nd,0.0017,10/24/2024,-65.2,-219.3,84.0,56.0,0.45,0.56,<0.0001,<0.0002,0.0,
939673.0,Sample_087,10/11/2024,na,nd,1.43,5.37,5.5,79.64,nd,8.06,0.0022,nd,nd,nd,nd,nd,nd,nd,0.0057,10/24/2024,-65.87,-153.9,2.4,1.6,0.00073,0.00092,<0.0001,<0.0002,0.73,
925749.0,Sample_013,6/19/2024,na,nd,1.29,0.95,0.32,61.91,nd,35.35,0.174,nd,nd,nd,nd,nd,nd,nd,0.0011,7/16/2024,-70.18,-194.7,14.0,9.4,0.077,0.097,<0.0001,<0.0002,0.63,dissolved gas ppm=dissolved gas mg/L.
925754.0,Sample_017,6/19/2024,na,nd,0.516,3.34,9.27,30.04,nd,55.94,0.896,nd,0.0006,nd,nd,nd,nd,nd,0.0019,7/16/2024,-51.5,-174.7,20.0,13.0,0.35,0.44,0.0002,0.0004,0.71,dissolved gas ppm=dissolved gas mg/L. Insufficient propane concentration for isotope analysis.
925758.0,Sample_021,6/19/2024,na,nd,1.71,4.81,1.45,86.88,nd,5.14,0.0011,nd,nd,nd,nd,nd,nd,nd,0.0031,7/16/2024,-77.16,-204.0,1.5,0.99,0.00036,0.00046,<0.0001,<0.0002,0.74,dissolved gas ppm=dissolved gas mg/L.
925759.0,Sample_022,6/19/2024,na,nd,1.44,6.26,15.84,68.94,nd,7.52,0.0039,nd,nd,nd,nd,nd,nd,nd,0.0043,7/16/2024,-46.2,-118.2,2.0,1.3,0.0012,0.0014,<0.0001,<0.0002,0.75,dissolved gas ppm=dissolved gas mg/L.
